key,dates
21761,4/30/2017
21761,5/7/2017
21761,6/11/2017
21761,8/5/2017
21761,8/6/2017
21761,8/20/2017
21761,10/21/2017
21761,1/8/2017
21761,4/29/2017
21761,6/10/2017
21761,7/23/2017
21761,8/12/2017
21761,8/19/2017
21761,12/3/2017
21761,12/10/2017
21761,12/23/2017
21761,12/24/2017
21761,12/25/2017
21761,12/30/2017
21761,11/11/2017
21761,11/18/2017
17101,5/6/2017
17101,7/4/2017
17101,7/15/2017
17101,6/4/2017
17101,9/3/2017
17101,11/4/2017
17101,11/11/2017
17101,11/18/2017
17101,8/12/2017
17101,2/20/2017
17101,7/30/2017
17101,11/5/2017
17101,1/15/2017
17101,9/24/2017
17101,11/23/2017
17101,7/8/2017
17101,10/8/2017
10984,2/18/2017
10984,7/30/2017
10984,10/7/2017
10984,11/4/2017
10984,11/5/2017
10984,7/29/2017
10984,2/20/2017
10984,7/15/2017
10984,9/23/2017
10984,9/24/2017
10984,10/8/2017
10984,4/29/2017
10984,6/11/2017
10984,8/19/2017
10984,10/14/2017
10984,11/11/2017
10984,12/3/2017
10984,12/9/2017
10984,12/10/2017
10984,1/21/2017
10984,1/22/2017
10984,1/29/2017
10984,2/4/2017
10984,6/17/2017
10984,7/4/2017
10984,7/9/2017
10984,8/6/2017
10984,10/15/2017
10984,11/19/2017
10984,11/23/2017
10984,11/26/2017
10984,12/23/2017
10984,1/16/2017
10984,8/12/2017
10984,6/3/2017
10984,9/2/2017
10984,9/16/2017
10984,12/31/2017
10984,1/14/2017
10984,1/1/2017
10984,8/20/2017
10984,11/18/2017
10984,11/25/2017
10984,2/19/2017
180405,2/4/2017
180405,2/19/2017
180405,1/2/2017
180405,1/29/2017
180405,2/25/2017
180405,5/6/2017
180405,5/27/2017
180405,5/29/2017
180405,7/2/2017
180405,7/4/2017
180405,8/19/2017
180405,10/21/2017
180405,11/25/2017
180405,12/2/2017
180405,12/9/2017
180405,12/23/2017
180405,12/24/2017
180405,2/12/2017
180405,2/20/2017
180405,3/19/2017
180405,4/2/2017
180405,5/13/2017
180405,7/8/2017
180405,7/29/2017
180405,9/2/2017
180405,10/7/2017
180405,10/8/2017
180405,10/14/2017
180405,10/29/2017
180405,11/11/2017
180405,11/12/2017
180405,12/3/2017
180405,12/17/2017
180405,12/30/2017
180405,4/23/2017
180405,4/29/2017
180405,5/7/2017
180405,5/14/2017
180405,9/23/2017
180405,11/26/2017
180405,1/28/2017
180405,4/16/2017
180405,4/22/2017
180405,5/21/2017
180405,6/3/2017
180405,6/17/2017
180405,6/24/2017
180405,7/16/2017
180405,7/23/2017
180405,7/30/2017
180405,8/12/2017
180405,8/27/2017
180405,9/10/2017
180405,9/17/2017
180405,9/30/2017
180405,11/18/2017
180405,11/19/2017
180405,12/10/2017
180405,12/16/2017
180405,5/20/2017
180405,3/25/2017
180405,9/9/2017
180405,9/16/2017
180405,7/9/2017
30990,1/14/2017
30990,1/15/2017
30990,1/16/2017
30990,2/20/2017
30990,2/25/2017
30990,5/6/2017
30990,5/7/2017
30990,5/20/2017
30990,7/8/2017
30990,7/9/2017
30990,7/15/2017
30990,8/19/2017
30990,12/2/2017
30990,12/23/2017
30990,12/24/2017
30990,1/28/2017
30990,1/29/2017
30990,2/18/2017
30990,2/19/2017
30990,3/5/2017
30990,4/14/2017
30990,4/29/2017
30990,5/29/2017
30990,6/10/2017
30990,6/17/2017
30990,7/4/2017
30990,7/22/2017
30990,7/23/2017
30990,7/29/2017
30990,8/5/2017
30990,9/10/2017
30990,10/14/2017
30990,11/26/2017
30990,12/30/2017
30990,12/31/2017
30990,11/12/2017
30990,11/19/2017
30990,2/11/2017
30990,2/12/2017
30990,11/23/2017
30990,11/11/2017
30990,12/25/2017
30990,4/23/2017
30990,5/13/2017
30990,5/14/2017
30990,6/18/2017
30990,6/24/2017
30990,6/25/2017
30990,7/1/2017
30990,7/16/2017
30990,7/30/2017
30990,8/12/2017
30990,8/13/2017
30990,8/20/2017
30990,8/26/2017
30990,10/15/2017
30990,11/18/2017
30990,12/3/2017
30990,12/10/2017
30990,12/16/2017
30990,12/17/2017
30990,10/28/2017
1254,5/14/2017
1254,2/4/2017
1254,7/29/2017
1254,8/6/2017
1254,11/4/2017
1254,11/11/2017
1254,11/18/2017
1254,11/19/2017
1254,11/25/2017
1254,12/24/2017
1254,7/1/2017
1254,1/22/2017
1254,3/18/2017
1254,4/8/2017
1254,8/19/2017
1254,11/23/2017
1254,8/26/2017
18386,4/14/2017
18386,10/1/2017
18386,12/30/2017
18386,3/11/2017
18386,12/23/2017
18386,7/8/2017
24755,11/11/2017
24755,11/18/2017
24755,5/6/2017
24755,11/12/2017
24755,12/31/2017
11600,2/11/2017
11600,3/5/2017
11600,3/12/2017
11600,6/18/2017
11600,8/12/2017
11600,9/24/2017
11600,6/3/2017
11600,7/1/2017
11600,7/15/2017
11600,4/8/2017
11600,5/7/2017
11600,12/16/2017
11600,2/18/2017
